,imdb_id,imdb_rating,imdb_votes,title,year_of_release,genres
2568,tt0363735,4.9,15,Kanwarlal,1988,Drama
2569,tt0156663,6.2,146,Kabzaa,1988,Action|Crime|Drama
2570,tt0151206,6.6,907,Khoon Bhari Maang,1988,Action|Drama|Thriller
2571,tt0095440,4.7,155,Khatron Ke Khiladi,1988,Action|Drama
2572,tt0215931,8.2,33,Libaas,1988,Drama
2573,tt0300160,6.9,332,Rolling in Money,1988,Comedy
2574,tt0366739,5.3,19,Mahaveera,1988,Action
2575,tt0446395,7.6,43,Main Zinda Hoon,1988,Drama
2576,tt0359657,4.9,24,Mar Mitenge,1988,Action
2577,tt0157974,5.2,44,Mardon Wali Baat,1988,Action|Adventure|Comedy
2578,tt0239654,5.2,37,Mohabbat Ke Dushman,1988,Action|Thriller
2579,tt0093555,5.4,65,Mohre,1987,Drama|Mystery
2580,tt0363832,5.1,16,Mulzim,1988,Drama
2581,tt0244670,6.6,36,Namumkin,1988,Drama|Mystery
2582,tt0430446,4.5,8,Paanch Fauladi,1988,Action|Drama
2583,tt0243472,5.7,85,Paap Ki Duniya,1988,Action
2584,tt0384403,5.7,56,Paap Ko Jalaa Kar Raakh Kar Doonga,1988,Crime
2585,tt0095857,7,137,Pestonjee,1988,Comedy|Drama
2586,tt0251355,8.6,2975,Pushpak,1987,Comedy|Romance
2587,tt0363000,4.4,10,Pyaar Mohabbat,1988,Drama|Romance
2588,tt0259541,7,64,Rihaee,1988,Drama
2589,tt0423100,7.2,34,Rukhsat,1988,Romance
2590,tt0232564,5.1,36,Saazish,1988,Action
2591,tt0095955,4.4,183,Ram-Avtar,1988,Action|Drama|Romance
2592,tt0359859,6.5,17,Qatil,1988,Crime|Drama|Mystery
2593,tt0155074,6.5,82,Pyar Ka Mandir,1988,Drama|Family
2594,tt0350030,5.4,14,Rama O Rama,1988,Action|Drama|Romance
2595,tt0095936,7.5,9677,Qayamat Se Qayamat Tak,1988,Drama|Musical|Romance
2596,tt0187060,4.7,35,Sherni,1988,Action|Drama
2597,tt0216171,6.6,23,Sagar Sangam,1988,Drama
2598,tt0096139,4.8,72,Sone Pe Suhaaga,1988,Action|Family
